protein_id,disease_id,association_type,confidence
P001,D151,risk_factor,high
P001,D018,protective,very_high
P001,D004,causal,very_high
P002,D016,risk_factor,high
P002,D102,environmental_factor,medium
P002,D130,comorbidity,medium
P003,D129,biomarker,very_high
P003,D107,environmental_factor,low
P003,D109,pharmacokinetic,medium
P003,D180,pharmacokinetic,low
P003,D103,genetic_predisposition,high
P004,D040,risk_factor,medium
P004,D072,biomarker,medium
P004,D022,pharmacokinetic,very_high
P005,D053,prognostic,medium
P005,D040,diagnostic,medium
P005,D138,genetic_predisposition,high
P006,D163,environmental_factor,high
P007,D175,biomarker,very_high
P007,D165,risk_factor,high
P008,D179,protective,low
P008,D112,causal,medium
P008,D187,protective,low
P009,D023,diagnostic,very_high
P010,D030,risk_factor,low
P010,D117,environmental_factor,high
P010,D157,comorbidity,very_high
P010,D156,environmental_factor,medium
P010,D015,comorbidity,medium
P011,D045,comorbidity,very_high
P011,D031,therapeutic_target,low
P011,D004,comorbidity,high
P012,D003,prognostic,medium
P012,D042,pharmacokinetic,low
P012,D128,pharmacokinetic,very_high
P013,D185,risk_factor,high
P014,D043,prognostic,very_high
P015,D033,comorbidity,high
P016,D069,comorbidity,high
P017,D031,diagnostic,very_high
P017,D008,risk_factor,medium
P017,D086,pharmacokinetic,medium
P018,D017,genetic_predisposition,very_high
P018,D068,environmental_factor,medium
P018,D183,biomarker,medium
P019,D128,pharmacokinetic,very_high
P019,D117,prognostic,low
P020,D015,genetic_predisposition,medium
P020,D128,therapeutic_target,very_high
P021,D095,therapeutic_target,medium
P022,D066,genetic_predisposition,high
P022,D027,environmental_factor,low
P023,D186,protective,medium
P023,D030,comorbidity,high
P024,D131,causal,very_high
P024,D001,causal,very_high
P025,D063,causal,high
P026,D121,diagnostic,low
P026,D094,therapeutic_target,low
P027,D046,causal,very_high
P028,D142,environmental_factor,high
P028,D183,diagnostic,medium
P028,D190,protective,medium
P029,D083,protective,high
P030,D107,prognostic,low
P030,D185,risk_factor,medium
P031,D020,prognostic,very_high
P031,D147,biomarker,very_high
P032,D129,protective,very_high
P032,D173,pharmacokinetic,high
P032,D014,causal,very_high
P032,D046,diagnostic,very_high
P033,D018,pharmacodynamic,high
P034,D073,biomarker,medium
P034,D080,pharmacokinetic,high
P034,D084,pharmacodynamic,medium
P035,D003,prognostic,medium
P036,D052,risk_factor,low
P037,D145,risk_factor,very_high
P038,D190,genetic_predisposition,medium
P039,D063,pharmacodynamic,very_high
P040,D095,genetic_predisposition,medium
P041,D127,pharmacokinetic,high
P041,D051,protective,medium
P041,D188,therapeutic_target,high
P042,D002,causal,high
P042,D105,protective,low
P043,D139,prognostic,very_high
P044,D163,causal,high
P044,D178,prognostic,high
P045,D001,comorbidity,medium
P045,D169,comorbidity,very_high
P045,D097,risk_factor,medium
P046,D027,protective,very_high
P046,D053,diagnostic,very_high
P046,D136,pharmacodynamic,low
P047,D016,therapeutic_target,medium
P048,D183,risk_factor,medium
P049,D024,diagnostic,medium
P049,D012,comorbidity,medium
P049,D060,prognostic,very_high
P049,D134,pharmacodynamic,high
P050,D022,pharmacokinetic,low
P050,D149,therapeutic_target,medium
P050,D025,environmental_factor,low
P051,D101,biomarker,very_high
P052,D152,genetic_predisposition,high
P053,D016,environmental_factor,medium
P053,D112,therapeutic_target,high
P054,D061,risk_factor,very_high
P055,D067,comorbidity,medium
P055,D081,prognostic,very_high
P055,D101,prognostic,low
P055,D180,pharmacodynamic,medium
P056,D070,protective,very_high
P057,D020,therapeutic_target,medium
P057,D052,biomarker,very_high
P057,D035,therapeutic_target,medium
P057,D150,pharmacodynamic,medium
P057,D028,pharmacodynamic,high
P058,D081,prognostic,very_high
P058,D105,protective,medium
P058,D031,pharmacodynamic,low
P058,D138,risk_factor,medium
P059,D119,risk_factor,medium
P060,D031,environmental_factor,medium
P060,D024,risk_factor,high
P060,D041,comorbidity,medium
P061,D179,protective,high
P061,D155,prognostic,low
P061,D011,therapeutic_target,high
P062,D024,protective,low
P062,D183,prognostic,medium
P063,D102,causal,medium
P063,D132,environmental_factor,very_high
P064,D077,causal,very_high
P064,D067,diagnostic,medium
P064,D045,pharmacodynamic,high
P065,D143,protective,medium
P065,D141,biomarker,low
P066,D119,therapeutic_target,high
P066,D027,biomarker,high
P067,D004,causal,very_high
P068,D057,therapeutic_target,medium
P069,D051,diagnostic,high
P070,D096,environmental_factor,high
P070,D176,biomarker,medium
P070,D162,genetic_predisposition,high
P071,D151,causal,very_high
P071,D067,biomarker,medium
P071,D020,protective,high
P072,D166,biomarker,very_high
P072,D114,causal,low
P072,D033,pharmacodynamic,low
P072,D024,causal,high
P072,D085,therapeutic_target,very_high
P073,D147,comorbidity,medium
P073,D111,diagnostic,medium
P074,D128,diagnostic,very_high
P074,D008,environmental_factor,medium
P075,D110,protective,very_high
P075,D045,therapeutic_target,medium
P075,D091,risk_factor,medium
P076,D072,pharmacodynamic,high
P077,D039,genetic_predisposition,high
P077,D009,genetic_predisposition,very_high
P078,D158,protective,very_high
P079,D166,pharmacodynamic,medium
P079,D076,diagnostic,high
P080,D141,biomarker,medium
P080,D123,risk_factor,very_high
P080,D016,diagnostic,very_high
P081,D036,diagnostic,very_high
P082,D052,environmental_factor,medium
P083,D135,protective,high
P084,D162,causal,low
P084,D140,diagnostic,high
P085,D183,pharmacodynamic,low
P085,D092,pharmacokinetic,very_high
P086,D125,pharmacokinetic,high
P086,D089,prognostic,very_high
P086,D145,diagnostic,high
P087,D070,protective,very_high
P087,D047,causal,very_high
P087,D007,risk_factor,low
P087,D082,causal,very_high
P087,D153,pharmacodynamic,high
P088,D136,prognostic,low
P089,D150,therapeutic_target,medium
P089,D060,biomarker,very_high
P090,D064,risk_factor,low
P090,D169,pharmacokinetic,very_high
P090,D062,comorbidity,low
P091,D015,diagnostic,high
P091,D057,prognostic,high
P091,D148,therapeutic_target,very_high
P092,D046,protective,high
P093,D152,comorbidity,high
P093,D082,prognostic,high
P093,D189,genetic_predisposition,medium
P094,D008,prognostic,medium
P094,D181,genetic_predisposition,low
P094,D180,genetic_predisposition,high
P095,D037,pharmacodynamic,medium
P095,D145,pharmacokinetic,medium
P095,D049,risk_factor,medium
P096,D045,pharmacodynamic,high
P097,D010,protective,high
P097,D024,genetic_predisposition,very_high
P097,D015,protective,medium
P098,D006,causal,high
P098,D135,prognostic,very_high
P098,D123,genetic_predisposition,very_high
P099,D052,therapeutic_target,very_high
P100,D088,comorbidity,high
P101,D046,prognostic,medium
P102,D016,genetic_predisposition,medium
P102,D006,comorbidity,very_high
P102,D038,therapeutic_target,medium
P103,D029,prognostic,high
P103,D135,biomarker,medium
P104,D096,comorbidity,medium
P105,D170,diagnostic,medium
P106,D151,prognostic,very_high
P106,D026,risk_factor,very_high
P107,D083,comorbidity,very_high
P107,D035,diagnostic,very_high
P107,D041,environmental_factor,medium
P108,D125,comorbidity,very_high
P108,D167,pharmacokinetic,medium
P108,D082,comorbidity,medium
P108,D045,genetic_predisposition,high
P109,D092,environmental_factor,very_high
P109,D058,genetic_predisposition,high
P110,D045,diagnostic,very_high
P111,D079,comorbidity,high
P112,D177,risk_factor,high
P113,D033,comorbidity,medium
P113,D046,genetic_predisposition,very_high
P113,D187,diagnostic,medium
P113,D001,genetic_predisposition,very_high
P114,D009,prognostic,very_high
P114,D047,genetic_predisposition,low
P114,D155,protective,very_high
P115,D164,pharmacodynamic,high
P115,D145,therapeutic_target,very_high
P115,D027,prognostic,medium
P116,D191,prognostic,low
P116,D020,prognostic,very_high
P116,D061,therapeutic_target,high
P117,D163,biomarker,medium
P118,D182,environmental_factor,medium
P119,D164,comorbidity,high
P120,D086,pharmacodynamic,medium
P121,D003,protective,low
P121,D068,comorbidity,very_high
P121,D054,biomarker,very_high
P122,D090,biomarker,medium
P122,D066,comorbidity,high
P123,D001,causal,low
P124,D099,pharmacodynamic,very_high
P125,D188,diagnostic,medium
P126,D043,pharmacokinetic,very_high
P126,D106,diagnostic,high
P126,D127,biomarker,low
P126,D097,pharmacodynamic,very_high
P126,D090,genetic_predisposition,medium
P127,D167,environmental_factor,low
P128,D058,causal,very_high
P128,D042,risk_factor,high
P128,D116,causal,very_high
P128,D019,prognostic,medium
P129,D067,biomarker,medium
P129,D027,prognostic,high
P130,D044,therapeutic_target,very_high
P130,D097,comorbidity,very_high
P131,D020,prognostic,high
P131,D141,genetic_predisposition,high
P131,D024,genetic_predisposition,very_high
P132,D124,causal,very_high
P132,D181,diagnostic,medium
P133,D168,genetic_predisposition,low
P133,D043,diagnostic,high
P134,D041,biomarker,very_high
P134,D014,prognostic,very_high
P135,D053,diagnostic,high
P135,D049,comorbidity,high
P136,D142,comorbidity,low
P136,D185,pharmacokinetic,medium
P137,D068,environmental_factor,medium
P138,D073,risk_factor,low
P139,D061,biomarker,very_high
P140,D013,diagnostic,high
P141,D147,pharmacokinetic,high
P142,D126,therapeutic_target,medium
P143,D014,causal,low
P143,D093,diagnostic,low
P144,D023,risk_factor,low
P145,D170,environmental_factor,medium
P146,D154,biomarker,high
P146,D123,causal,high
P146,D052,protective,medium
P147,D044,pharmacodynamic,high
P147,D164,biomarker,low
P147,D075,risk_factor,high
P147,D021,diagnostic,medium
P148,D121,pharmacodynamic,high
P149,D170,environmental_factor,medium
P149,D068,pharmacokinetic,high
P149,D024,diagnostic,very_high
P150,D048,prognostic,medium
P151,D098,prognostic,medium
P152,D048,causal,very_high
P152,D115,risk_factor,very_high
P153,D113,risk_factor,medium
P153,D120,protective,high
P154,D069,comorbidity,very_high
P154,D145,environmental_factor,low
P154,D016,biomarker,high
P154,D039,biomarker,low
P155,D172,prognostic,low
P156,D139,genetic_predisposition,very_high
P156,D106,protective,medium
P157,D142,causal,medium
P158,D100,pharmacokinetic,medium
P159,D108,environmental_factor,high
P159,D138,pharmacodynamic,low
P160,D147,protective,medium
P161,D122,comorbidity,high
P161,D077,causal,very_high
P161,D021,pharmacokinetic,high
P161,D102,genetic_predisposition,high
P162,D133,genetic_predisposition,very_high
P163,D174,pharmacodynamic,high
P163,D159,therapeutic_target,high
P163,D038,therapeutic_target,very_high
P163,D031,protective,low
P164,D050,biomarker,low
P164,D033,environmental_factor,high
P164,D011,diagnostic,low
P164,D109,protective,low
P165,D161,genetic_predisposition,medium
P165,D038,risk_factor,high
P166,D082,biomarker,low
P166,D187,biomarker,low
P167,D100,diagnostic,high
P167,D143,pharmacokinetic,high
P168,D084,pharmacokinetic,high
P168,D071,pharmacodynamic,high
P169,D004,genetic_predisposition,very_high
P169,D180,genetic_predisposition,medium
P170,D134,diagnostic,very_high
P171,D029,therapeutic_target,high
P171,D107,therapeutic_target,high
P172,D146,biomarker,very_high
P172,D151,biomarker,high
P172,D150,genetic_predisposition,medium
P173,D026,pharmacokinetic,high
P173,D074,prognostic,very_high
P174,D106,environmental_factor,very_high
P174,D068,pharmacodynamic,medium
P174,D099,genetic_predisposition,medium
P175,D156,causal,low
P175,D122,therapeutic_target,high
P176,D071,diagnostic,low
P177,D037,genetic_predisposition,very_high
P178,D156,comorbidity,medium
P178,D175,diagnostic,low
P179,D010,prognostic,medium
P179,D102,comorbidity,very_high
P180,D061,comorbidity,high
P180,D013,pharmacodynamic,medium
P181,D069,risk_factor,high
P181,D096,risk_factor,very_high
P181,D006,pharmacodynamic,medium
P181,D087,comorbidity,medium
P181,D078,environmental_factor,low
P182,D026,therapeutic_target,very_high
P182,D059,risk_factor,medium
P183,D191,pharmacodynamic,low
P184,D083,risk_factor,medium
P185,D187,diagnostic,high
P186,D155,biomarker,medium
P186,D166,protective,very_high
P187,D114,protective,very_high
P188,D105,comorbidity,high
P189,D125,prognostic,very_high
P189,D133,causal,very_high
P190,D132,therapeutic_target,very_high
P191,D017,risk_factor,high
P192,D182,pharmacokinetic,medium
P193,D104,therapeutic_target,high
P194,D135,causal,high
P194,D146,therapeutic_target,high
P195,D050,causal,medium
P195,D052,protective,medium
P196,D009,pharmacodynamic,low
P197,D013,prognostic,medium
P198,D181,pharmacodynamic,medium
P198,D051,pharmacokinetic,high
P198,D071,diagnostic,medium
P198,D095,environmental_factor,low
P199,D032,causal,very_high
P199,D175,protective,high
P200,D096,genetic_predisposition,very_high
P200,D126,pharmacodynamic,high
P201,D046,genetic_predisposition,high
P201,D122,pharmacokinetic,high
P202,D090,prognostic,medium
P203,D042,risk_factor,medium
P204,D177,risk_factor,medium
P204,D024,causal,very_high
P205,D099,protective,very_high
P205,D013,protective,high
P205,D042,environmental_factor,high
P205,D147,protective,low
P206,D174,environmental_factor,low
P206,D053,diagnostic,high
P206,D069,pharmacokinetic,medium
P207,D006,pharmacodynamic,very_high
P207,D175,therapeutic_target,medium
P207,D003,environmental_factor,medium
P208,D045,genetic_predisposition,high
P208,D154,risk_factor,very_high
P208,D003,comorbidity,medium
P208,D058,comorbidity,high
P208,D065,environmental_factor,medium
P209,D071,diagnostic,high
P210,D097,prognostic,high
P211,D118,protective,high
P211,D065,pharmacodynamic,very_high
P212,D078,genetic_predisposition,medium
P212,D174,biomarker,high
P212,D134,causal,very_high
P212,D160,pharmacokinetic,medium
P212,D102,environmental_factor,very_high
P213,D096,pharmacokinetic,medium
P214,D166,risk_factor,high
P214,D153,risk_factor,very_high
P214,D156,environmental_factor,high
P215,D028,pharmacodynamic,very_high
P216,D017,risk_factor,high
P216,D087,environmental_factor,high
P217,D084,comorbidity,low
P217,D071,environmental_factor,medium
P217,D067,risk_factor,high
P217,D168,protective,high
P218,D039,protective,low
P218,D133,causal,medium
P219,D154,diagnostic,very_high
P220,D170,prognostic,medium
P221,D175,environmental_factor,low
P221,D036,pharmacodynamic,very_high
P221,D185,risk_factor,high
P221,D007,risk_factor,high
P222,D108,diagnostic,low
P223,D100,genetic_predisposition,very_high
P223,D189,comorbidity,high
P223,D010,genetic_predisposition,low
P224,D049,comorbidity,very_high
P224,D088,protective,high
P224,D186,environmental_factor,high
P225,D137,environmental_factor,very_high
P225,D164,prognostic,low
P225,D122,pharmacokinetic,medium
P226,D077,therapeutic_target,high
P227,D169,therapeutic_target,low
P227,D143,risk_factor,medium
P228,D025,pharmacodynamic,high
P229,D033,pharmacokinetic,low
P229,D190,therapeutic_target,very_high
P229,D067,environmental_factor,medium
P229,D186,prognostic,medium
P230,D168,biomarker,medium
P231,D057,comorbidity,very_high
P231,D091,risk_factor,low
P231,D058,diagnostic,low
P232,D085,risk_factor,medium
P232,D096,genetic_predisposition,medium
P233,D076,pharmacodynamic,high
P234,D031,genetic_predisposition,medium
P234,D121,genetic_predisposition,very_high
P234,D014,genetic_predisposition,high
P234,D163,biomarker,high
P235,D121,protective,very_high
P236,D129,pharmacokinetic,very_high
P236,D031,risk_factor,medium
P236,D175,diagnostic,very_high
P236,D098,causal,low
P237,D039,prognostic,medium
P237,D036,diagnostic,medium
P237,D052,genetic_predisposition,high
P238,D118,prognostic,low
P238,D037,comorbidity,very_high
P239,D047,biomarker,very_high
P240,D125,therapeutic_target,very_high
P240,D086,prognostic,medium
P240,D162,environmental_factor,medium
P241,D015,causal,high
P242,D116,risk_factor,high
P243,D054,therapeutic_target,medium
P244,D148,pharmacodynamic,low
P244,D041,biomarker,very_high
P245,D034,genetic_predisposition,low
P246,D112,diagnostic,low
P246,D163,diagnostic,medium
P247,D110,causal,low
P247,D123,causal,very_high
P247,D099,pharmacokinetic,low
P248,D052,comorbidity,very_high
P249,D096,causal,medium
P250,D083,pharmacokinetic,medium
P251,D049,causal,high
P251,D005,environmental_factor,very_high
P251,D174,comorbidity,high
P252,D064,comorbidity,very_high
P252,D058,prognostic,high
P253,D080,pharmacokinetic,low
P253,D034,genetic_predisposition,very_high
P253,D027,risk_factor,high
P253,D099,therapeutic_target,high
P254,D017,risk_factor,very_high
P254,D012,risk_factor,low
P255,D117,comorbidity,very_high
P256,D134,pharmacokinetic,very_high
P256,D153,prognostic,very_high
P257,D112,pharmacodynamic,high
P257,D176,prognostic,medium
P257,D035,protective,medium
P257,D088,therapeutic_target,high
P258,D104,protective,low
P258,D005,protective,high
P259,D187,causal,medium
P259,D034,genetic_predisposition,high
P259,D055,pharmacokinetic,medium
P259,D188,therapeutic_target,medium
P260,D032,prognostic,high
P261,D183,environmental_factor,high
P262,D010,environmental_factor,high
P262,D097,risk_factor,very_high
P263,D137,genetic_predisposition,very_high
P264,D013,causal,very_high
P264,D153,environmental_factor,medium
P265,D028,causal,very_high
P265,D168,causal,medium
P266,D177,biomarker,high
P267,D107,biomarker,medium
P267,D114,pharmacokinetic,high
P267,D098,risk_factor,medium
P268,D122,protective,low
P268,D180,comorbidity,high
P268,D040,environmental_factor,medium
P269,D162,causal,low
P270,D078,diagnostic,medium
P271,D170,biomarker,high
P272,D170,pharmacokinetic,medium
P273,D070,genetic_predisposition,low
P274,D156,comorbidity,medium
P275,D036,biomarker,medium
P275,D108,pharmacokinetic,medium
P276,D185,biomarker,low
P276,D159,risk_factor,medium
P277,D030,genetic_predisposition,high
P277,D028,protective,very_high
P277,D128,risk_factor,high
P277,D051,pharmacokinetic,very_high
P278,D052,diagnostic,high
P278,D092,risk_factor,very_high
P278,D181,therapeutic_target,low
P279,D011,pharmacokinetic,high
P280,D128,pharmacodynamic,medium
P280,D054,prognostic,medium
P280,D177,protective,low
P281,D001,causal,very_high
P282,D172,biomarker,medium
P282,D023,genetic_predisposition,high
P283,D172,pharmacodynamic,medium
P284,D039,pharmacokinetic,very_high
P284,D024,biomarker,very_high
P285,D186,comorbidity,high
P286,D026,protective,very_high
P286,D066,pharmacodynamic,medium
P286,D165,risk_factor,medium
P287,D068,pharmacodynamic,low
P288,D013,biomarker,medium
P289,D045,risk_factor,very_high
P289,D011,prognostic,medium
P290,D174,prognostic,very_high
P291,D110,causal,very_high
P291,D190,causal,very_high
P291,D030,therapeutic_target,high
P291,D025,environmental_factor,very_high
P292,D166,therapeutic_target,high
P293,D085,prognostic,medium
P294,D113,genetic_predisposition,high
P295,D069,prognostic,high
P295,D188,prognostic,low
P295,D024,therapeutic_target,very_high
P296,D030,diagnostic,high
P296,D103,pharmacodynamic,high
P297,D070,diagnostic,high
P298,D177,therapeutic_target,medium
P298,D123,biomarker,high
P298,D108,therapeutic_target,high
P298,D167,comorbidity,high
P299,D186,causal,low
P300,D041,biomarker,very_high
P301,D107,pharmacodynamic,low
P301,D152,genetic_predisposition,very_high
P302,D174,therapeutic_target,medium
P302,D113,genetic_predisposition,medium
P303,D098,genetic_predisposition,low
P303,D092,causal,medium
P304,D176,pharmacodynamic,high
P304,D187,pharmacodynamic,medium
P304,D034,biomarker,high
P305,D106,pharmacodynamic,medium
P306,D012,risk_factor,medium
P306,D017,environmental_factor,low
P307,D081,environmental_factor,very_high
P307,D004,pharmacokinetic,very_high
P307,D181,comorbidity,high
P308,D148,comorbidity,very_high
P309,D145,protective,very_high
P310,D172,comorbidity,high
P310,D087,genetic_predisposition,very_high
P310,D133,biomarker,high
P310,D134,diagnostic,medium
P310,D177,environmental_factor,medium
P311,D187,pharmacodynamic,low
P311,D064,prognostic,very_high
P312,D170,pharmacokinetic,low
P312,D174,genetic_predisposition,high
P312,D165,causal,very_high
P312,D099,causal,very_high
P312,D039,environmental_factor,very_high
P313,D041,pharmacodynamic,very_high
P313,D130,pharmacodynamic,high
P314,D043,biomarker,high
P315,D126,prognostic,medium
P315,D083,risk_factor,very_high
P315,D062,causal,high
P316,D130,protective,medium
P317,D141,diagnostic,medium
P317,D165,protective,low
P317,D097,biomarker,low
P318,D118,pharmacodynamic,very_high
P319,D147,pharmacodynamic,high
P320,D023,pharmacodynamic,high
P321,D115,pharmacodynamic,very_high
P321,D081,comorbidity,low
P321,D031,environmental_factor,medium
P322,D005,biomarker,high
P323,D104,causal,medium
P323,D106,pharmacokinetic,medium
P324,D141,causal,very_high
P325,D024,pharmacokinetic,low
P325,D155,pharmacokinetic,high
P325,D159,protective,medium
P325,D164,environmental_factor,high
P325,D078,environmental_factor,high
P326,D117,protective,very_high
P326,D088,pharmacodynamic,medium
P326,D094,prognostic,high
P326,D014,pharmacokinetic,very_high
P327,D159,genetic_predisposition,medium
P328,D122,comorbidity,high
P329,D169,prognostic,medium
P330,D184,environmental_factor,medium
P330,D116,protective,high
P330,D030,causal,medium
P330,D025,prognostic,low
P331,D091,environmental_factor,low
