protein_id,disease_id,association_type,confidence
P332,D075,prognostic,medium
P332,D141,comorbidity,very_high
P332,D134,biomarker,high
P333,D012,pharmacodynamic,medium
P333,D043,therapeutic_target,high
P334,D184,diagnostic,medium
P334,D191,biomarker,medium
P334,D185,risk_factor,high
P335,D157,diagnostic,very_high
P335,D051,protective,high
P335,D049,pharmacodynamic,very_high
P335,D031,protective,medium
P336,D184,biomarker,medium
P336,D087,diagnostic,medium
P337,D012,environmental_factor,medium
P338,D173,pharmacodynamic,medium
P338,D151,pharmacodynamic,low
P338,D032,environmental_factor,low
P339,D151,causal,high
P339,D130,pharmacokinetic,medium
P339,D035,comorbidity,very_high
P339,D128,causal,very_high
P340,D142,diagnostic,high
P341,D150,therapeutic_target,high
P341,D124,comorbidity,medium
P341,D131,genetic_predisposition,very_high
P342,D045,therapeutic_target,medium
P342,D188,biomarker,medium
P343,D100,environmental_factor,medium
P344,D154,pharmacokinetic,low
P344,D156,diagnostic,medium
P344,D083,diagnostic,high
P345,D156,comorbidity,very_high
P346,D064,risk_factor,high
P347,D102,prognostic,medium
P348,D076,pharmacodynamic,high
P349,D035,comorbidity,medium
P349,D036,comorbidity,high
P349,D106,pharmacokinetic,very_high
P349,D155,risk_factor,high
P350,D180,prognostic,medium
P350,D141,comorbidity,medium
P351,D189,protective,high
P351,D142,protective,low
P351,D162,protective,medium
P352,D160,prognostic,high
P352,D183,environmental_factor,very_high
P352,D075,therapeutic_target,high
P352,D176,comorbidity,high
P353,D167,pharmacokinetic,high
P353,D046,pharmacokinetic,low
P354,D178,prognostic,high
P354,D164,comorbidity,medium
P355,D030,pharmacodynamic,high
P355,D091,genetic_predisposition,very_high
P355,D144,genetic_predisposition,low
P356,D171,comorbidity,very_high
P357,D107,environmental_factor,high
P358,D137,causal,medium
P358,D074,pharmacokinetic,high
P358,D109,biomarker,high
P359,D007,diagnostic,very_high
P360,D038,causal,very_high
P360,D014,protective,very_high
P360,D172,risk_factor,medium
P361,D042,therapeutic_target,high
P361,D074,causal,very_high
P361,D175,comorbidity,very_high
P361,D065,risk_factor,medium
P362,D053,prognostic,low
P362,D139,pharmacodynamic,high
P362,D009,biomarker,high
P363,D158,protective,very_high
P363,D173,comorbidity,very_high
P363,D190,environmental_factor,high
P363,D144,pharmacokinetic,high
P364,D100,risk_factor,high
P364,D061,comorbidity,high
P364,D131,environmental_factor,medium
P364,D179,causal,high
P365,D098,environmental_factor,medium
P365,D100,prognostic,low
P365,D107,pharmacokinetic,high
P366,D014,causal,very_high
P367,D191,pharmacodynamic,medium
P367,D065,protective,medium
P367,D052,environmental_factor,very_high
P367,D159,comorbidity,high
P368,D182,prognostic,very_high
P368,D166,genetic_predisposition,low
P369,D140,genetic_predisposition,very_high
P369,D190,protective,high
P370,D186,protective,high
P371,D076,therapeutic_target,medium
P371,D115,environmental_factor,medium
P372,D020,comorbidity,medium
P372,D048,pharmacokinetic,high
P372,D045,biomarker,medium
P373,D097,risk_factor,very_high
P373,D011,pharmacokinetic,high
P373,D110,risk_factor,medium
P374,D034,genetic_predisposition,high
P374,D042,risk_factor,high
P375,D002,therapeutic_target,low
P375,D085,causal,very_high
P375,D120,therapeutic_target,low
P375,D182,prognostic,medium
P376,D153,causal,high
P377,D161,genetic_predisposition,very_high
P378,D170,risk_factor,high
P379,D126,pharmacokinetic,low
P379,D147,prognostic,high
P380,D019,comorbidity,medium
P381,D082,protective,high
P381,D135,therapeutic_target,low
P382,D134,biomarker,very_high
P383,D130,diagnostic,high
P383,D041,pharmacokinetic,very_high
P384,D138,diagnostic,high
P385,D024,protective,medium
P385,D090,environmental_factor,medium
P385,D057,prognostic,medium
P386,D085,risk_factor,very_high
P386,D093,protective,low
P387,D159,pharmacodynamic,low
P387,D136,pharmacokinetic,very_high
P388,D167,causal,medium
P389,D030,pharmacodynamic,very_high
P389,D172,protective,medium
P389,D089,environmental_factor,medium
P390,D158,genetic_predisposition,medium
P391,D063,causal,medium
P392,D175,prognostic,medium
P393,D098,diagnostic,very_high
P393,D030,risk_factor,very_high
P394,D139,comorbidity,low
P395,D073,pharmacokinetic,medium
P395,D007,pharmacokinetic,low
P395,D133,pharmacodynamic,high
P395,D096,pharmacodynamic,very_high
P396,D012,environmental_factor,medium
P396,D076,protective,low
P397,D083,therapeutic_target,medium
P397,D132,pharmacokinetic,very_high
P397,D022,pharmacokinetic,very_high
P397,D025,causal,high
P398,D161,biomarker,medium
P399,D054,environmental_factor,very_high
P399,D172,protective,very_high
P400,D176,diagnostic,medium
P401,D027,comorbidity,very_high
P401,D053,diagnostic,high
P401,D138,environmental_factor,medium
P401,D180,biomarker,medium
P402,D176,pharmacodynamic,very_high
P402,D040,comorbidity,medium
P402,D007,prognostic,low
P403,D010,biomarker,medium
P403,D023,causal,high
P404,D046,genetic_predisposition,high
P404,D065,protective,very_high
P404,D143,risk_factor,low
P404,D019,diagnostic,high
P405,D100,diagnostic,medium
P405,D116,prognostic,low
P405,D162,causal,medium
P405,D104,diagnostic,low
P406,D173,causal,very_high
P406,D031,environmental_factor,medium
P406,D137,comorbidity,medium
P407,D159,comorbidity,high
P407,D017,genetic_predisposition,low
P408,D012,biomarker,high
P408,D180,prognostic,high
P409,D129,biomarker,very_high
P410,D075,environmental_factor,low
P411,D078,risk_factor,high
P411,D156,pharmacodynamic,low
P411,D023,diagnostic,medium
P412,D102,environmental_factor,medium
P413,D008,pharmacodynamic,low
P414,D041,protective,very_high
P414,D137,therapeutic_target,very_high
P415,D101,risk_factor,low
P415,D140,environmental_factor,very_high
P416,D037,comorbidity,very_high
P416,D077,environmental_factor,very_high
P416,D174,prognostic,very_high
P417,D003,pharmacokinetic,medium
P417,D142,therapeutic_target,high
P418,D032,genetic_predisposition,very_high
P418,D011,genetic_predisposition,medium
P418,D002,diagnostic,low
P419,D138,pharmacokinetic,very_high
P420,D022,protective,high
P420,D079,comorbidity,medium
P421,D190,comorbidity,high
P422,D089,diagnostic,high
P422,D055,environmental_factor,medium
P423,D132,therapeutic_target,medium
P423,D037,therapeutic_target,very_high
P424,D057,risk_factor,high
P424,D158,protective,very_high
P425,D030,causal,low
P425,D047,pharmacokinetic,very_high
P425,D172,pharmacodynamic,medium
P425,D146,environmental_factor,medium
P426,D141,biomarker,medium
P427,D075,biomarker,low
P427,D172,risk_factor,medium
P428,D026,pharmacodynamic,medium
P428,D051,prognostic,very_high
P428,D186,prognostic,medium
P428,D149,therapeutic_target,high
P429,D172,environmental_factor,low
P430,D061,biomarker,low
P431,D073,genetic_predisposition,high
P432,D018,pharmacodynamic,very_high
P432,D050,pharmacodynamic,high
P432,D082,prognostic,medium
P433,D158,environmental_factor,high
P434,D079,comorbidity,high
P435,D150,genetic_predisposition,medium
P435,D040,genetic_predisposition,medium
P436,D094,therapeutic_target,very_high
P436,D081,causal,high
P436,D110,prognostic,very_high
P437,D064,environmental_factor,high
P437,D057,diagnostic,high
P437,D183,risk_factor,medium
P437,D190,prognostic,very_high
P438,D035,prognostic,medium
P438,D174,pharmacodynamic,medium
P438,D188,pharmacodynamic,medium
P439,D115,risk_factor,medium
P439,D092,pharmacodynamic,very_high
P440,D142,therapeutic_target,high
P440,D028,environmental_factor,very_high
P441,D156,therapeutic_target,medium
P441,D021,pharmacokinetic,very_high
P441,D072,protective,low
P442,D068,environmental_factor,low
P442,D188,biomarker,high
P443,D187,biomarker,low
P444,D005,pharmacokinetic,low
P445,D162,genetic_predisposition,high
P445,D008,diagnostic,medium
P445,D149,genetic_predisposition,low
P446,D055,causal,low
P447,D142,risk_factor,high
P448,D140,pharmacokinetic,high
P449,D121,environmental_factor,medium
P450,D039,diagnostic,high
P450,D094,protective,medium
P451,D151,comorbidity,high
P452,D075,therapeutic_target,medium
P453,D119,diagnostic,high
P453,D129,prognostic,high
P453,D131,pharmacokinetic,high
P453,D024,causal,high
P454,D170,genetic_predisposition,high
P454,D062,environmental_factor,high
P455,D043,pharmacokinetic,high
P456,D036,therapeutic_target,high
P456,D115,therapeutic_target,very_high
P457,D145,therapeutic_target,medium
P457,D169,comorbidity,very_high
P458,D188,pharmacodynamic,medium
P459,D092,causal,very_high
P460,D057,pharmacodynamic,high
P461,D060,prognostic,medium
P461,D017,protective,high
P461,D068,causal,medium
P462,D172,protective,high
P463,D133,prognostic,high
P464,D100,pharmacodynamic,very_high
P464,D121,causal,very_high
P465,D011,environmental_factor,low
P466,D083,pharmacokinetic,high
P466,D027,environmental_factor,very_high
P466,D181,risk_factor,high
P467,D190,pharmacokinetic,medium
P467,D068,genetic_predisposition,medium
P467,D149,therapeutic_target,high
P468,D097,diagnostic,medium
P468,D168,prognostic,high
P469,D151,pharmacokinetic,high
P469,D168,risk_factor,low
P469,D020,diagnostic,high
P470,D058,prognostic,very_high
P470,D133,prognostic,medium
P470,D104,pharmacodynamic,low
P471,D124,pharmacokinetic,high
P471,D155,therapeutic_target,medium
P471,D002,pharmacodynamic,very_high
P472,D043,protective,very_high
P473,D020,pharmacokinetic,high
P474,D165,therapeutic_target,medium
P474,D072,therapeutic_target,very_high
P474,D055,therapeutic_target,medium
P475,D093,genetic_predisposition,medium
P476,D184,biomarker,high
P477,D170,protective,medium
P478,D107,comorbidity,high
P478,D085,biomarker,very_high
P479,D124,pharmacodynamic,low
P479,D173,protective,medium
P479,D123,genetic_predisposition,very_high
P480,D042,diagnostic,low
P480,D166,causal,very_high
P481,D063,genetic_predisposition,medium
P481,D012,genetic_predisposition,low
P481,D033,therapeutic_target,very_high
P482,D035,pharmacokinetic,very_high
P482,D162,causal,high
P483,D147,therapeutic_target,medium
P483,D038,risk_factor,medium
P483,D015,therapeutic_target,high
P484,D133,genetic_predisposition,very_high
P484,D104,genetic_predisposition,medium
P485,D164,causal,very_high
P486,D185,risk_factor,very_high
P486,D187,biomarker,high
P486,D170,protective,medium
P487,D115,pharmacodynamic,very_high
P487,D156,pharmacodynamic,medium
P488,D044,diagnostic,medium
P488,D057,genetic_predisposition,high
P489,D037,genetic_predisposition,medium
P489,D150,environmental_factor,medium
P489,D047,pharmacokinetic,high
P490,D068,therapeutic_target,medium
P491,D186,prognostic,very_high
P491,D176,pharmacodynamic,high
P492,D153,genetic_predisposition,low
P493,D018,diagnostic,high
P493,D059,diagnostic,high
P494,D034,causal,very_high
P494,D028,protective,medium
P495,D134,environmental_factor,medium
P495,D130,diagnostic,very_high
P496,D039,biomarker,medium
P496,D156,therapeutic_target,medium
P497,D122,genetic_predisposition,high
P498,D154,causal,high
P499,D137,pharmacokinetic,very_high
P500,D031,environmental_factor,high
P500,D024,therapeutic_target,very_high
P500,D124,genetic_predisposition,medium
P501,D139,causal,very_high
P502,D174,environmental_factor,medium
P503,D111,pharmacokinetic,medium
P504,D108,prognostic,high
P505,D012,comorbidity,medium
P506,D136,diagnostic,very_high
P507,D059,pharmacodynamic,high
P508,D098,comorbidity,medium
P508,D090,comorbidity,very_high
P508,D151,genetic_predisposition,very_high
P509,D026,risk_factor,very_high
P509,D109,pharmacodynamic,medium
P509,D035,protective,high
P510,D022,risk_factor,low
P511,D154,causal,high
P511,D140,comorbidity,very_high
P511,D105,comorbidity,high
P511,D066,causal,high
P511,D049,genetic_predisposition,very_high
P512,D134,biomarker,low
P513,D134,diagnostic,medium
P513,D002,environmental_factor,low
P514,D053,comorbidity,high
P515,D081,prognostic,high
P515,D105,biomarker,high
P516,D040,diagnostic,low
P517,D167,risk_factor,high
P517,D150,pharmacokinetic,high
P517,D065,diagnostic,low
P518,D145,risk_factor,very_high
P518,D094,environmental_factor,high
P518,D157,diagnostic,very_high
P519,D053,pharmacokinetic,medium
P519,D106,pharmacodynamic,high
P519,D142,therapeutic_target,very_high
P520,D095,pharmacodynamic,medium
P520,D144,risk_factor,very_high
P520,D143,risk_factor,medium
P521,D148,prognostic,high
P522,D181,environmental_factor,very_high
P522,D102,biomarker,high
P522,D189,comorbidity,medium
P522,D036,protective,medium
P523,D115,pharmacokinetic,very_high
P523,D180,diagnostic,high
P523,D042,prognostic,high
P523,D026,pharmacokinetic,very_high
P523,D055,genetic_predisposition,medium
P524,D179,environmental_factor,medium
P525,D181,therapeutic_target,high
P525,D014,diagnostic,high
P526,D163,pharmacodynamic,medium
P526,D002,genetic_predisposition,high
P526,D024,diagnostic,very_high
P526,D038,biomarker,very_high
P527,D017,protective,medium
P527,D068,prognostic,low
P528,D021,causal,high
P528,D156,comorbidity,low
P529,D099,environmental_factor,high
P529,D103,pharmacokinetic,high
P529,D158,risk_factor,very_high
P530,D183,genetic_predisposition,low
P531,D015,pharmacodynamic,high
P531,D045,pharmacodynamic,very_high
P531,D164,causal,very_high
P532,D052,risk_factor,very_high
P532,D169,protective,high
P532,D133,causal,high
P533,D154,pharmacokinetic,medium
P533,D131,comorbidity,high
P534,D060,genetic_predisposition,very_high
P535,D044,causal,high
P535,D173,prognostic,high
P536,D062,environmental_factor,low
P537,D001,biomarker,low
P537,D041,risk_factor,very_high
P538,D103,diagnostic,high
P538,D091,diagnostic,high
P538,D172,genetic_predisposition,medium
P539,D052,comorbidity,very_high
P539,D133,comorbidity,medium
P539,D004,biomarker,very_high
P540,D024,pharmacokinetic,very_high
P541,D073,prognostic,low
P541,D186,risk_factor,high
P541,D144,protective,very_high
P541,D150,genetic_predisposition,very_high
P541,D090,protective,medium
P542,D117,causal,low
P542,D104,risk_factor,high
P542,D148,therapeutic_target,low
P543,D105,biomarker,high
P543,D130,pharmacokinetic,high
P543,D028,risk_factor,very_high
P543,D144,prognostic,low
P544,D030,pharmacokinetic,low
P545,D066,pharmacokinetic,medium
P546,D148,comorbidity,medium
P546,D065,pharmacodynamic,medium
P547,D097,genetic_predisposition,medium
P548,D124,environmental_factor,very_high
P548,D063,pharmacodynamic,very_high
P548,D087,genetic_predisposition,medium
P548,D118,causal,medium
P549,D124,biomarker,high
P549,D030,diagnostic,medium
P549,D067,environmental_factor,medium
P550,D057,environmental_factor,medium
P551,D180,protective,high
P552,D081,diagnostic,medium
P553,D091,causal,low
P553,D133,comorbidity,high
P553,D138,risk_factor,very_high
P554,D064,risk_factor,low
P555,D024,environmental_factor,high
P555,D103,comorbidity,medium
P556,D088,therapeutic_target,low
P556,D020,pharmacodynamic,high
P556,D142,prognostic,medium
P557,D091,protective,high
P558,D147,risk_factor,medium
P559,D047,comorbidity,high
P560,D175,protective,very_high
P561,D128,comorbidity,high
P562,D052,comorbidity,very_high
P562,D061,protective,high
P563,D068,protective,high
P563,D053,protective,high
P564,D064,genetic_predisposition,high
P565,D092,biomarker,very_high
P565,D040,biomarker,high
P565,D028,environmental_factor,high
P566,D170,pharmacodynamic,medium
P567,D158,causal,high
P567,D002,pharmacodynamic,high
P567,D139,prognostic,very_high
P568,D159,prognostic,high
P569,D127,risk_factor,medium
P569,D148,pharmacodynamic,high
P570,D047,diagnostic,medium
P570,D131,protective,medium
P570,D072,genetic_predisposition,very_high
P571,D033,causal,high
P572,D135,pharmacodynamic,medium
P572,D109,pharmacokinetic,very_high
P573,D009,pharmacokinetic,high
P574,D089,diagnostic,high
P575,D176,therapeutic_target,high
P576,D118,biomarker,medium
P577,D179,pharmacokinetic,low
P578,D118,causal,medium
P578,D081,causal,very_high
P578,D177,environmental_factor,very_high
P579,D054,genetic_predisposition,medium
P579,D098,biomarker,medium
P580,D084,risk_factor,medium
P580,D093,therapeutic_target,low
P580,D157,pharmacokinetic,high
P581,D068,pharmacodynamic,high
P581,D061,genetic_predisposition,medium
P581,D069,prognostic,very_high
P582,D094,therapeutic_target,medium
P583,D128,diagnostic,medium
P583,D109,comorbidity,medium
P583,D054,prognostic,low
P584,D094,pharmacodynamic,very_high
P584,D103,therapeutic_target,high
P584,D072,genetic_predisposition,high
P585,D034,genetic_predisposition,high
P586,D176,protective,low
P587,D026,risk_factor,very_high
P587,D185,protective,low
P588,D143,diagnostic,medium
P589,D098,protective,very_high
P590,D038,therapeutic_target,high
P590,D190,pharmacodynamic,high
P591,D003,therapeutic_target,medium
P592,D108,therapeutic_target,medium
P592,D128,environmental_factor,very_high
P593,D133,prognostic,high
P593,D137,pharmacodynamic,very_high
P593,D185,risk_factor,low
P594,D065,pharmacokinetic,medium
P595,D146,causal,medium
P596,D102,comorbidity,very_high
P596,D026,therapeutic_target,high
P597,D016,risk_factor,low
P597,D056,pharmacodynamic,low
P598,D162,pharmacodynamic,medium
P598,D025,comorbidity,high
P599,D086,risk_factor,low
P600,D093,pharmacokinetic,medium
P600,D144,risk_factor,low
P601,D089,biomarker,low
P601,D006,prognostic,very_high
P601,D106,environmental_factor,medium
P602,D156,protective,medium
P603,D148,therapeutic_target,high
P603,D167,risk_factor,high
P603,D138,prognostic,medium
P604,D084,pharmacodynamic,medium
P604,D173,comorbidity,very_high
P604,D131,pharmacodynamic,high
P605,D021,pharmacodynamic,high
P605,D098,environmental_factor,low
P605,D158,therapeutic_target,low
P605,D074,therapeutic_target,very_high
P606,D164,diagnostic,very_high
P606,D087,environmental_factor,medium
P607,D157,genetic_predisposition,low
P608,D104,prognostic,very_high
P608,D019,protective,very_high
P608,D021,prognostic,medium
P608,D042,prognostic,high
P609,D168,comorbidity,medium
P609,D075,risk_factor,high
P610,D155,pharmacodynamic,high
P610,D166,prognostic,very_high
P610,D102,comorbidity,medium
P610,D070,genetic_predisposition,medium
P611,D134,therapeutic_target,low
P611,D116,causal,very_high
P611,D106,therapeutic_target,very_high
P611,D043,comorbidity,very_high
P612,D061,comorbidity,high
P612,D170,biomarker,medium
P612,D065,protective,low
P612,D191,therapeutic_target,medium
P612,D180,diagnostic,medium
P613,D027,biomarker,very_high
P614,D017,causal,medium
P614,D122,diagnostic,medium
P614,D141,pharmacokinetic,very_high
P614,D014,biomarker,low
P615,D027,risk_factor,medium
P616,D159,biomarker,low
P616,D040,environmental_factor,very_high
P617,D100,protective,high
P617,D080,protective,medium
P618,D189,pharmacodynamic,high
P618,D073,environmental_factor,high
P619,D033,therapeutic_target,high
P619,D034,causal,very_high
P619,D135,causal,high
P620,D170,pharmacodynamic,low
P620,D092,pharmacodynamic,low
P620,D084,pharmacokinetic,medium
P621,D070,pharmacodynamic,high
P621,D141,therapeutic_target,medium
P622,D179,genetic_predisposition,high
P622,D139,genetic_predisposition,very_high
P622,D046,pharmacodynamic,high
P623,D162,genetic_predisposition,medium
P623,D163,diagnostic,medium
P624,D135,environmental_factor,medium
P625,D164,risk_factor,very_high
P625,D137,prognostic,medium
P626,D124,biomarker,high
P626,D139,pharmacodynamic,medium
P626,D059,risk_factor,medium
P627,D094,diagnostic,high
P628,D067,risk_factor,low
P628,D040,causal,low
P629,D001,therapeutic_target,very_high
P629,D134,prognostic,high
P630,D074,causal,very_high
P630,D121,comorbidity,very_high
P630,D137,pharmacodynamic,very_high
P631,D123,causal,very_high
P631,D077,diagnostic,very_high
P632,D075,genetic_predisposition,medium
P633,D060,causal,very_high
P634,D141,diagnostic,low
P634,D096,pharmacokinetic,high
P634,D049,diagnostic,high
P635,D102,protective,very_high
P636,D042,comorbidity,low
P637,D189,diagnostic,high
P637,D166,diagnostic,low
P638,D057,biomarker,high
P638,D068,diagnostic,low
P639,D161,protective,high
P640,D133,genetic_predisposition,very_high
P641,D178,risk_factor,very_high
P641,D176,environmental_factor,medium
P641,D070,comorbidity,very_high
P642,D137,diagnostic,high
P642,D069,protective,low
P643,D018,therapeutic_target,very_high
P644,D035,biomarker,medium
P644,D075,environmental_factor,high
P645,D117,genetic_predisposition,high
P646,D116,risk_factor,very_high
P647,D180,protective,medium
P647,D160,prognostic,medium
P647,D126,causal,medium
P648,D039,causal,medium
P648,D013,therapeutic_target,medium
P648,D137,biomarker,low
P649,D073,therapeutic_target,medium
P649,D069,comorbidity,very_high
P650,D113,comorbidity,medium
P651,D003,therapeutic_target,high
P651,D060,causal,high
P651,D024,pharmacodynamic,high
P652,D056,prognostic,very_high
P653,D108,risk_factor,very_high
P654,D128,pharmacodynamic,high
P654,D096,comorbidity,low
P655,D009,biomarker,high
P655,D085,therapeutic_target,medium
P656,D015,diagnostic,very_high
P656,D069,biomarker,high
P657,D140,protective,low
P657,D121,risk_factor,high
P657,D047,diagnostic,medium
P658,D004,comorbidity,very_high
P658,D032,protective,very_high
P659,D099,pharmacodynamic,high
P660,D064,causal,high
P660,D189,protective,high
P661,D118,pharmacokinetic,very_high
P661,D189,environmental_factor,medium
P661,D025,protective,medium
